pickup_zone,holiday_date,trip_lift_pct,fpm_lift_pct
2,2024-01-01,-44.18604651162791,5.021675037072694
2,2024-02-19,-44.18604651162791,18.34592521155543
2,2024-05-27,-44.18604651162791,35.32177513944251
2,2024-06-19,30.303030303030297,-2.491965959186502
2,2024-07-04,181.4814814814815,-27.429361533157078
2,2024-09-02,67.44186046511628,9.844570131849615
2,2024-10-31,-29.629629629629626,-43.76072395792813
2,2024-11-11,-44.18604651162791,-6.501781741532775
2,2025-01-01,-34.84848484848485,66.98734242610182
2,2025-01-20,-44.18604651162791,-19.889146030648057
2,2025-03-17,-44.18604651162791,67.68724566272344
2,2025-05-26,-44.18604651162791,-11.292891576703498
2,2025-06-19,181.4814814814815,-3.3466076476311355
2,2025-06-29,-6.206896551724136,-10.126387169669089
2,2025-07-04,5.555555555555562,6.464449732194372
3,2024-01-01,-19.766104763535836,-5.79035031343831
3,2024-01-15,-25.43733026692438,-13.43433824101038
3,2024-02-19,-12.886257431556288,-15.20541642418303
3,2024-05-27,-29.063195752697386,-8.32065035013494
3,2024-06-19,-15.954642187847407,-11.288634624848102
3,2024-07-04,-13.71325155014448,-10.330647524969166
3,2024-09-02,-23.57791206909207,-10.176344559687173
3,2024-10-14,-15.489442908521522,-6.663068147931566
3,2024-10-31,15.731781303663784,-5.4620812423058664
3,2024-11-03,3.7696095546539246,-1.2749141078840462
3,2024-11-11,-13.351111981014366,-8.442922930447972
3,2024-11-28,13.854127034725286,-12.323631436886224
3,2024-12-25,0.7654924880094048,-16.08548134271507
3,2024-12-31,20.196447502217605,-8.40675682315371
3,2025-01-01,-1.4579296763332563,-15.88648776085953
3,2025-01-20,-6.006410099576743,-13.926413529043677
3,2025-02-17,-7.958799207300668,-13.447711420714118
3,2025-03-17,6.0798081863332705,6.663638629753889
3,2025-05-26,-18.092628385486755,-12.464491204725373
3,2025-06-19,-6.202634474390488,-4.697980821180288
3,2025-06-29,1.8252085866673127,1.7681745551898456
3,2025-07-04,-11.896946001770434,-11.144589554967201
4,2024-01-01,62.10337907468677,25.45451042043326
4,2024-01-15,29.847589087161687,-10.461201217706055
4,2024-02-19,22.839941422140264,-11.159060626173751
4,2024-05-27,-6.2211856592721135,-11.019273465061797
4,2024-06-19,19.737412522449986,-12.671618517308028
4,2024-07-04,12.485243424469934,-18.113703613704203
4,2024-09-02,11.71014807181212,-12.34579045761233
4,2024-10-14,2.1261593534739944,-9.567489555013669
4,2024-10-31,33.10100580818812,-4.401663788224279
4,2024-11-03,26.047548291233287,19.3326325632061
4,2024-11-11,-1.583771763302054,-6.933145174983115
4,2024-11-28,13.817821221136128,-16.658779008821234
4,2024-12-25,-17.891868458537193,-28.387166476986387
4,2024-12-31,87.87179877717095,-2.3902406239401692
4,2025-01-01,51.47086146033318,4.2843164631891
4,2025-01-20,23.767424201334276,-11.661052491643439
4,2025-02-17,24.797960622660955,-15.318475974491925
4,2025-03-17,4.187232196127354,10.516779893362854
4,2025-05-26,-13.847155177089546,-14.254138036472618
4,2025-06-19,2.765264201728282,-6.946554762027797
4,2025-06-29,-20.999257057949478,13.582660560734459
4,2025-07-04,-29.51948585473864,-9.933425008666527
5,2024-01-01,-10.020213687554143,-7.6838434491977745
5,2024-01-15,-20.993358359803636,-13.438188830260241
5,2024-02-19,-19.530272403503705,-8.220166067810899
5,2024-05-27,-43.67119068245259,-4.639562799670092
5,2024-06-19,-5.9779454439930415,-3.8438276752012306
