period,beta,se,ci95_low,ci95_high
-28,0.10625214983226804,0.020745623558457375,0.06558802453338261,0.14691627513115346
-27,0.03891477923333058,0.054122594740519434,-0.06717255855276646,0.1450021170194276
-26,0.13798011432610607,0.05467524190242459,0.03080951609356064,0.2451507125586515
-25,0.1537342485867461,0.05331681497735058,0.0492263441283808,0.2582421530451114
-24,0.10365960630180887,0.04817725340479671,0.009225912202980621,0.1980933004006371
-23,0.11445674635486443,0.024993413085909095,0.06546640010143111,0.16344709260829776
-22,0.19321918555731554,0.02181684694761413,0.1504553228368471,0.235983048277784
-21,0.08005077472776881,0.020590794097680703,0.039690135346057205,0.12041141410948042
-20,-0.018614760516809256,0.046496975367108666,-0.10975489072400614,0.07252536969038763
-19,-0.016531955424973325,0.04867833805323046,-0.11194784072532615,0.07888392987537951
-18,0.02899439441729846,0.04258190371570637,-0.05447168522505846,0.11246047405965537
-17,0.025860271650401032,0.038049103520866726,-0.048720928992855905,0.10044147229365796
-16,-0.11617433519667182,0.027530343978187224,-0.17013739655734303,-0.06221127383600062
-15,-0.05593000278654278,0.014878487834023313,-0.0850937775863616,-0.026766227986723973
-14,-0.11885906148901068,0.018156206767548453,-0.1544475924805063,-0.08327053049751507
-13,-0.3203855398437106,0.04003779932944405,-0.3988648433959249,-0.24190623629149632
-12,-0.5388918263192999,0.04045707546711357,-0.6181929657324119,-0.4595906869061878
-11,-0.6066423544154081,0.052581560353924105,-0.7097090640092589,-0.5035756448215574
-10,-0.40242914295720544,0.04700934718176082,-0.4945735886824162,-0.3102846972319947
-9,-0.3231528676420303,0.03884093833816894,-0.39928616770211434,-0.24701956758194618
-8,-0.14293250544873481,0.03039677247407401,-0.20251414015277114,-0.08335087074469849
-7,-0.1992290272069158,0.03595267798080821,-0.2697009606304863,-0.12875709378334527
-6,-0.2761564974184598,0.0389490063860363,-0.35250162493347204,-0.19981136990344764
-5,-0.29513113358950166,0.05927656281638131,-0.41132092035876566,-0.17894134682023766
-4,-0.1641355924425133,0.03732563137690729,-0.23729869341625096,-0.09097249146877565
-3,-0.2888077828371043,0.044422560743911654,-0.3758817900896535,-0.2017337755845551
-2,-0.22183588598047477,0.026467714343452537,-0.2737160547979838,-0.16995571716296573
-1,0.0,0.0,0.0,0.0
0,-0.09559383056564967,0.017474985435469135,-0.12984707898412984,-0.0613405821471695
1,-0.2908245153352447,0.05355155112926665,-0.3957925332371417,-0.18585649743334778
2,-0.18290069748767174,0.05622924990362934,-0.2931173538875408,-0.07268404108780269
3,-0.11222041905744633,0.054376988146416304,-0.21880640106618876,-0.005634437048703908
4,-0.050385116901980095,0.05065242438565006,-0.14967046863442782,0.048900234830467626
5,-0.041761140165625724,0.02869571089384015,-0.0980084725265758,0.014486192195324342
6,0.1256788583241581,0.02257357307167233,0.08143171380023198,0.1699260028480842
7,0.03742639257136386,0.02729566620564341,-0.016076669776952053,0.09092945491967977
8,-0.07249507080605579,0.060914173193808464,-0.19189478729330628,0.04690464568119472
9,0.0024867052713568698,0.06721061138269573,-0.12925485048276975,0.13422826102548346
10,0.013993742458142394,0.0564474574068681,-0.09665062908019212,0.1246381139964769
11,0.0015749754974145264,0.05302638509845728,-0.10236364855573282,0.10551359955056189
12,-0.07013929116908053,0.03330905409773438,-0.13542937732151344,-0.004849205016647609
13,0.07332978217984217,0.016527531297367382,0.0409336673239254,0.10572589703575894
14,-0.019674983219888618,0.01848299007957511,-0.055904052082342545,0.016554085642565313
15,-0.16011715950445002,0.027179035674494176,-0.21339161081492636,-0.10684270819397368
16,-0.06311970169939461,0.05559575546127693,-0.17209462644885665,0.04585522305006742
17,0.028796789107634516,0.059939508610480995,-0.0886924577989291,0.14628603601419815
18,0.05604950319929719,0.05660288517430354,-0.054899527015220814,0.1669985334138152
19,-0.011645643712837305,0.035587782298922545,-0.08140233405453999,0.05811104662886538
20,0.14034366421334216,0.020414725763190887,0.10032814170867622,0.1803591867180081
21,0.013127029726155471,0.02260862550232905,-0.03118882212913809,0.05744288158144903
22,-0.17608104508501496,0.05359123281334442,-0.2811268442581696,-0.07103524591186036
23,-0.027001877311088916,0.05557129079414685,-0.13592884812526576,0.08192509350308794
24,0.059479731876493316,0.054184931370901704,-0.04672979382752444,0.16568925758051106
25,0.048700497195569244,0.05379456416140871,-0.056743857913567654,0.15414485230470615
26,-0.04165334530825669,0.03661591162536947,-0.113425303093538,0.030118612477024617
27,0.07186931349368847,0.025563186111035665,0.02176213787041794,0.12197648911695899
28,0.021361098477207636,0.030376155707380073,-0.03818012467777412,0.08090232163218938
