period,beta,se,ci95_low,ci95_high
-20,-0.04554445376500178,0.0052846496181667806,-0.055902314155293335,-0.03518659337471023
-19,-0.052468098247464005,0.0046916998271907435,-0.06166378297860318,-0.04327241351632483
-18,-0.0254242133731382,0.005138045871082366,-0.03549473188559287,-0.015353694860683526
-17,-0.017581296571252205,0.00737696016083372,-0.032040064696198294,-0.0031225284463061147
-16,-0.012821481119437074,0.005897113730087644,-0.02437976504273493,-0.0012631971961392149
-15,0.016152477089964937,0.008305615614292645,-0.00012644643460198862,0.03243140061453186
-14,-0.015383836013143571,0.005234356223219368,-0.025643121852413176,-0.005124550173873966
-13,-0.011903639784089282,0.005346571935176575,-0.022382867296323217,-0.0014244122718553472
-12,0.0036372574019185515,0.006137505991210971,-0.00839219294858431,0.015666707752421412
-11,0.04150180071209694,0.006215600235865708,0.029319286423232234,0.05368431500096165
-10,0.027436967652885325,0.008549922069231879,0.010679205920387135,0.04419472938538352
-9,0.006019186750608459,0.006189579684823887,-0.006112327518492757,0.018150701019709677
-8,0.030071627882511227,0.00617702716300113,0.017964716430622196,0.04217853933440026
-7,0.05748895338197449,0.006599685295356233,0.04455363621843599,0.07042427054551298
-6,-0.014700586177145706,0.0035604518791988067,-0.021679036245872394,-0.007722136108419018
-5,0.07035957816863549,0.006857344749780584,0.05691925105174233,0.08379990528552864
-4,0.17405115889631592,0.008305753281499522,0.15777196554540057,0.19033035224723127
-3,0.05413046622682675,0.006044695421482786,0.042282923664625174,0.06597800878902832
-2,-0.002304341197846273,0.006418906191924702,-0.014885333126956942,0.010276650731264398
-1,0.0,0.0,0.0,0.0
0,-0.0504113685558399,0.005830058512865024,-0.06183822492412163,-0.03898451218755817
1,-0.04664222392952393,0.0057603849166284835,-0.05793252074611338,-0.03535192711293447
2,-0.04329693149944542,0.006319032334258665,-0.0556821716665493,-0.03091169133234154
3,-0.04568167636724742,0.006292635843308165,-0.058015179676127245,-0.03334817305836759
4,-0.06141615333255312,0.0069422347770631285,-0.07502286405378174,-0.0478094426113245
5,-0.051128615437994206,0.008383154671696891,-0.06755951473946545,-0.03469771613652296
6,-0.06400631761319352,0.006655115958792291,-0.07705027832260461,-0.05096235690378242
7,-0.06469534721775268,0.006579664303394691,-0.07759142343731261,-0.05179927099819274
8,-0.04085779751245283,0.0051259802595343806,-0.050904667546963406,-0.030810927477942257
9,-0.06552334040600355,0.005275349072907199,-0.07586297182061785,-0.055183708991389246
10,-0.06711884753117535,0.00549987752498211,-0.07789855246594234,-0.05633914259640836
11,-0.09066707372256318,0.005899733142581754,-0.10223049166814802,-0.07910365577697834
12,-0.0598450870864038,0.0057956919689403355,-0.07120458537235495,-0.048485588800452645
13,-0.032525517423290566,0.004458856966874929,-0.041264832477292276,-0.023786202369288852
14,-0.03353589959890201,0.004264185394967007,-0.04189366031922581,-0.025178138878578213
15,-0.0356530296193108,0.004348952398148131,-0.04417693281796187,-0.02712912642065973
16,-0.03130151354054486,0.005239302262884612,-0.04157049356808408,-0.021032533513005644
17,-0.0029537654726349946,0.005323964006697039,-0.013388681671191721,0.007481150725921733
18,0.03887969329706404,0.006208030586604161,0.026712015445034244,0.051047371149093836
19,0.023367912024574805,0.00637496079874925,0.01087305262651086,0.03586277142263875
20,-0.028299953630788535,0.004280203970989065,-0.03668911059988489,-0.01991079666169218
21,0.02067063202891433,0.005692781294568948,0.009512837635335773,0.03182842642249289
22,-0.00971463719382108,0.004561444761678299,-0.018655023299471774,-0.000774251088170386
23,-0.04573035863328669,0.004332051500832269,-0.05422113624225504,-0.03723958102431835
24,0.019616174472709257,0.005389113955051726,0.009053565027059519,0.030178783918358994
25,-0.02858378304121211,0.005746734247379477,-0.03984732468261848,-0.01732024139980574
26,-0.011740794817807612,0.0050039062983644475,-0.021548401109507044,-0.0019331885261081785
27,0.01909303418327809,0.00538657172573835,0.008535407481653146,0.02965066088490303
28,0.002998059540842451,0.004912152360989264,-0.006629709951398291,0.012625829033083194
29,-0.013084011037820226,0.005350891012190491,-0.023571703897798557,-0.002596318177841896
30,-0.0512790440170999,0.005069055506959761,-0.061214342105971375,-0.041343745928228426
