period,beta,se,ci95_low,ci95_high
-20,0.14671029084940393,0.029477056697161292,0.08893086840447603,0.20448971329433183
-19,0.11515647683679914,0.030084923342280273,0.056185545211041354,0.17412740846255692
-18,0.24028111786577788,0.03795973573504496,0.16587438080697897,0.3146878549245768
-17,0.26332480422784876,0.038284581022709235,0.18828132201168796,0.33836828644400957
-16,0.23775869990191417,0.03450407526304019,0.1701255721722119,0.30539182763161643
-15,0.24022879234488498,0.03769843480136756,0.1663342440431696,0.31412334064660036
-14,0.24453509608892177,0.035133040538775605,0.17566910271923153,0.313401089458612
-13,0.23966320201830707,0.034337020792538704,0.17235752593757991,0.3069688780990342
-12,0.2486222105763811,0.03534684495778454,0.1793371286941088,0.31790729245865335
-11,0.25405124889369723,0.035393316258673486,0.1846750763386616,0.3234274214487329
-10,0.20638638396570955,0.03194242011029398,0.14377448195570414,0.26899828597571496
-9,0.250799508200569,0.03311438413517666,0.18589038210948786,0.3157086342916502
-8,0.2922483171936329,0.03567169022791838,0.22232649018836106,0.3621701441989048
-7,0.24282482554850934,0.037627575628718234,0.16906917178136932,0.31658047931564937
-6,0.0014180392909276835,0.021198418447965175,-0.0401340188827531,0.04297009746460846
-5,0.29694368268085464,0.03696318050210092,0.22449034233956183,0.36939702302214744
-4,0.3237819413530186,0.0369537038495048,0.25134717666259015,0.396216706043447
-3,0.18596787994337127,0.030701222511271973,0.12578891013376528,0.24614684975297726
-2,-0.13529015829427465,0.01687540084977672,-0.1683684579577768,-0.1022118586307725
-1,0.0,0.0,0.0,0.0
0,0.12008898338034034,0.03369810282330154,0.054035681701558314,0.18614228505912236
1,0.19903875215761122,0.04136991325886012,0.11794755912394932,0.2801299451912731
2,0.20087025616786985,0.039375563102053354,0.12368828654810271,0.278052225787637
3,0.19241405149875246,0.04135215640633914,0.1113576645413431,0.2734704384561618
4,0.2497342154779915,0.0449625100344864,0.16160099756016988,0.3378674333958131
5,0.1779709049295953,0.04128283643129092,0.09705039545016253,0.2588914144090281
6,0.23241209147798478,0.03508661899458057,0.16363709125052536,0.3011870917054442
7,0.09931069062196263,0.03893808629222642,0.02298624072217771,0.17563514052174756
8,0.13263596037244427,0.03944807546847233,0.05531185571203018,0.20996006503285836
9,0.13645836752968377,0.03540391577348349,0.06706141834656718,0.20585531671280036
10,0.162272465507905,0.03356522431046062,0.09647962550975028,0.22806530550605972
11,0.16557908772696522,0.03697654587639146,0.09309954926096814,0.2380586261929623
12,0.1617496231871292,0.03812833873598736,0.087012399129,0.23648684724525842
13,0.1813952089891711,0.04061378336095353,0.10178614319918997,0.2610042747791522
14,0.15128697925567564,0.030334373703429892,0.09182708776041733,0.21074687075093396
15,0.11415758549368657,0.03603432551469302,0.04352493930306478,0.18479023168430836
16,0.09989644255862914,0.03577565679845177,0.02977082558678379,0.1700220595304745
17,0.12625597824908683,0.039755713971098824,0.04832885629335054,0.2041831002048231
18,0.11362369091482119,0.03871316152782675,0.037740127061227785,0.1895072547684146
19,0.05347811342093855,0.039888769702023034,-0.024709817589269205,0.1316660444311463
20,0.05736336712264383,0.030964216894480704,-0.0033311108574072754,0.11805784510269493
21,0.0997815049133795,0.039574776914941635,0.022209046542649477,0.17735396328410952
22,0.09299522532549702,0.040088949523344686,0.014414912043886716,0.17157553860710734
23,0.0230816033326669,0.03397567988142241,-0.04351579073182915,0.08967899739716295
24,0.09185787668262826,0.03873845892852086,0.015924726155016472,0.16779102721024006
25,-0.09631518083098788,0.0315196662866102,-0.1580984223671955,-0.03453193929478025
26,0.06615807454695588,0.03635700153016882,-0.0051070647043729295,0.1374232137982847
27,0.12146072825697536,0.0377783532321166,0.04740952792521423,0.1955119285887365
28,0.09786440810160865,0.036593775280102686,0.02613515702724914,0.16959365917596816
29,0.1027979657276709,0.035397664822089614,0.03341326934051628,0.17218266211482552
30,0.07798739873163207,0.03494022095066947,0.009499360479757732,0.1464754369835064
