regressor,coef,se,p_value,ci95_low,ci95_high
rain_light,0.005142224389145702,0.001621724764562103,0.001520301779092792,0.00196367741484001,0.008320771363451393
rain_mod,0.022209696366759263,0.002454774210535751,0.0,0.017398389719660665,0.02702100301385786
rain_heavy,0.04351817854789565,0.002788813001160517,0.0,0.038052162784649485,0.048984194311141815
temp_f,-0.0095462131403283,0.00043293265140676937,0.0,-0.010394752176839037,-0.008697674103817565
temp_sq,8.959984920193874e-05,4.923269435981691e-06,0.0,7.995034300249634e-05,9.924935540138115e-05
wind_mph,0.002223061441311286,0.00022628677466796345,0.0,0.0017795440463355336,0.002666578836287038
heat_extreme,0.023118800324559066,0.015320936621534016,0.1313090468840863,-0.006909918361904167,0.0531475190110223
cold_extreme,0.02398144236122615,0.004921425406357049,1.100997589764674e-06,0.014335550421682842,0.03362733430076945
is_storm_active,-0.019535346550895328,0.0029570649149804175,3.95232735428408e-11,-0.025331132582981038,-0.013739560518809618
dow_1,0.04206407239125929,0.003925336770835205,0.0,0.03437049356166171,0.04975765122085687
dow_2,0.09730903157289239,0.0047346079760804145,0.0,0.08802929793020021,0.10658876521558457
dow_3,0.13803833729466702,0.004841138406495344,0.0,0.1285498062131824,0.14752686837615164
dow_4,0.23401067820254695,0.0074085136961323786,0.0,0.219490144689388,0.2485312117157059
dow_5,0.26142605276847736,0.01618241390761389,0.0,0.22970885643097347,0.2931432491059812
dow_6,0.10211153037578484,0.01314171275010174,7.771561172376096e-15,0.07635404537474058,0.1278690153768291
month_2,0.06744039896253255,0.0022493464227811796,0.0,0.06303172652777017,0.07184907139729493
month_3,0.05751448350372953,0.003659897741756795,0.0,0.05034115967743249,0.06468780733002658
month_4,0.07266725555575801,0.005695967725068044,0.0,0.06150327670195628,0.08383123440955974
month_5,0.0873709350043497,0.006498608677244428,0.0,0.07463379649624438,0.10010807351245501
month_6,0.07835851307467792,0.008504892691941364,0.0,0.061689099421082826,0.09502792672827301
month_7,0.00942667015722814,0.00963438811138982,0.32785830937787774,-0.00945653114173811,0.028309871456194388
month_8,-0.014130264979582495,0.010267712150424808,0.16876654973355354,-0.03425476828738455,0.005994238328219565
month_9,0.07457309661569787,0.007803691518249781,0.0,0.05927802275003763,0.08986817048135812
month_10,0.0892331466227427,0.006422344268062741,0.0,0.0766454847782173,0.10182080846726811
month_11,0.09738602655969049,0.0039025264965519865,0.0,0.08973715539559222,0.10503489772378875
month_12,0.10690204105780941,0.005457666695540304,0.0,0.09620512728985402,0.11759895482576481
