regressor,coef,se,p_value,ci95_low,ci95_high
log_precip,0.005228169882584311,0.00039793289523819313,0.0,0.004448229643944462,0.00600811012122416
temp_f,-0.010099175012932513,0.0004064786718556982,0.0,-0.01089586479687052,-0.009302485228994505
temp_sq,9.439282672083959e-05,4.69486258558428e-06,0.0,8.519099322278185e-05,0.00010359466021889732
wind_mph,0.0022668905633410055,0.0002285049477437747,0.0,0.001819025595135782,0.002714755531546229
is_storm_active,-0.017856060626611932,0.0028503842038564453,3.7514591433307487e-10,-0.023442754671697954,-0.012269366581525911
dow_1,0.04331367362068143,0.003933292133684524,0.0,0.03560450244610467,0.05102284479525818
dow_2,0.09750627856338268,0.004740831733247314,0.0,0.08821434648732998,0.10679821063943537
dow_3,0.13811693068940467,0.004856814294722927,0.0,0.12859767519335374,0.1476361861854556
dow_4,0.2332794840129597,0.007391688534168846,0.0,0.2187919274719498,0.2477670405539696
dow_5,0.2621604264439768,0.01618453429924108,0.0,0.23043907418917237,0.29388177869878124
dow_6,0.10207621847033249,0.013124232269751217,7.549516567451064e-15,0.07635299485418112,0.12779944208648386
month_2,0.06903765943354997,0.0022631331113708904,0.0,0.0646019653753852,0.07347335349171474
month_3,0.06059894932790885,0.003644252303594711,0.0,0.053456290238043595,0.06774160841777412
month_4,0.0740667334879993,0.005648195322373174,0.0,0.06299638755698665,0.08513707941901195
month_5,0.09074064500844214,0.006418463537864096,0.0,0.07816058931732767,0.10332070069955662
month_6,0.07930493220346213,0.00841115102397476,0.0,0.0628192502822731,0.09579061412465116
month_7,0.009792493348829676,0.009483194332101352,0.3017854894845149,-0.008794371268180518,0.02837935796583987
month_8,-0.011912468488793414,0.010132685289911788,0.2397374801914487,-0.03177232194058159,0.007947384962994759
month_9,0.07748978645063362,0.00773914343490467,0.0,0.06232122549546422,0.09265834740580302
month_10,0.09339822833337912,0.006399660328035987,0.0,0.08085502654435722,0.10594143012240101
month_11,0.10071778195894183,0.0038879037527114408,0.0,0.09309757107166787,0.1083379928462158
month_12,0.10795012978331624,0.005444709149188497,0.0,0.09727861254018717,0.1186216470264453
