tourist_inflow,layer,multiplier_vs_baseline,tournament_estimate
500000,L1_narrow_baseline,1.0,752581.0041213814
500000,L2_return_trips,1.5,1128871.5061820722
500000,L3_broader_origins,2.7,2031968.71112773
500000,L4_multi_day_window,10.8,8127874.84451092
1000000,L1_narrow_baseline,1.0,836201.1156904236
1000000,L2_return_trips,1.5,1254301.6735356355
1000000,L3_broader_origins,2.7,2257743.012364144
1000000,L4_multi_day_window,10.8,9030972.049456576
2000000,L1_narrow_baseline,1.0,1003441.3388285084
2000000,L2_return_trips,1.5,1505162.0082427626
2000000,L3_broader_origins,2.7,2709291.6148369727
2000000,L4_multi_day_window,10.8,10837166.45934789
